プロジェクト,トラッカー,ステータス,題名,説明,優先度,カテゴリ,担当者,対象バージョン,プライベート,開始日,期日,予定工数,進捗率
販売WEB,機能,新規,業務フロー図,,通常,,福尾 利行,01.要件定義,,,,,
販売WEB,機能,新規,システム化課題一覧表,,通常,,福尾 利行,01.要件定義,,,,,
販売WEB,機能,新規,セキュリティ要件書,,通常,,福尾 利行,01.要件定義,,,,,
販売WEB,機能,新規,システム構成図,,通常,,福尾 利行,01.要件定義,,,,,
販売WEB,機能,新規,ＤＢ一覧表,,通常,,福尾 利行,01.要件定義,,,,,
販売WEB,機能,新規,テーブル一覧表,,通常,,福尾 利行,01.要件定義,,,,,
販売WEB,機能,新規,ＩＦ一覧表,,通常,,福尾 利行,01.要件定義,,,,,
販売WEB,機能,新規,バッチ一覧表,,通常,,福尾 利行,01.要件定義,,,,,
販売WEB,機能,新規,ジョブフロー図,,通常,,福尾 利行,01.要件定義,,,,,
販売WEB,機能,新規,ジョブスケジュール表,,通常,,福尾 利行,01.要件定義,,,,,
販売WEB,機能,新規,画面一覧表,,通常,,福尾 利行,01.要件定義,,,,,
販売WEB,機能,新規,画面帳票遷移図,,通常,,福尾 利行,01.要件定義,,,,,
販売WEB,機能,新規,帳票一覧表,,通常,,福尾 利行,01.要件定義,,,,,
販売WEB,機能,新規,画面デモ,,通常,,福尾 利行,01.要件定義,,,,,
販売WEB,機能,新規,（各技術検証資料）,,通常,,福尾 利行,01.要件定義,,,,,
販売WEB,機能,新規,試験要件定義表,,通常,,福尾 利行,01.要件定義,,,,,
販売WEB,機能,新規,移行要件定義書,,通常,,福尾 利行,01.要件定義,,,,,
販売WEB,機能,新規,運用要件定義書,,通常,,福尾 利行,01.要件定義,,,,,
販売WEB,機能,新規,開発体制図,,通常,,福尾 利行,01.要件定義,,,,,
販売WEB,機能,新規,概算見積書,,通常,,福尾 利行,01.要件定義,,,,,
販売WEB,機能,新規,（各機能設計書）,,通常,,福尾 利行,02.外部設計,,,,,
販売WEB,機能,新規,テーブル一覧表,,通常,,福尾 利行,02.外部設計,,,,,
販売WEB,機能,新規,ＥＲ図,,通常,,福尾 利行,02.外部設計,,,,,
販売WEB,機能,新規,（各テーブル定義書）,,通常,,福尾 利行,02.外部設計,,,,,
販売WEB,機能,新規,区分定義書,,通常,,福尾 利行,02.外部設計,,,,,
販売WEB,機能,新規,ＩＦ一覧表,,通常,,福尾 利行,02.外部設計,,,,,
販売WEB,機能,新規,（各ＩＦ定義書）,,通常,,福尾 利行,02.外部設計,,,,,
販売WEB,機能,新規,バッチ共通仕様書,,通常,,福尾 利行,02.外部設計,,,,,
販売WEB,機能,新規,バッチ一覧表,,通常,,福尾 利行,02.外部設計,,,,,
販売WEB,機能,新規,ジョブフロー図,,通常,,福尾 利行,02.外部設計,,,,,
販売WEB,機能,新規,ジョブスケジュール表,,通常,,福尾 利行,02.外部設計,,,,,
販売WEB,機能,新規,（各バッチ設計書）,,通常,,福尾 利行,02.外部設計,,,,,
販売WEB,機能,新規,画面共通仕様書,,通常,,福尾 利行,02.外部設計,,,,,
販売WEB,機能,新規,画面一覧表,,通常,,福尾 利行,02.外部設計,,,,,
販売WEB,機能,新規,画面帳票遷移図,,通常,,福尾 利行,02.外部設計,,,,,
販売WEB,機能,新規,（各画面設計書）,,通常,,福尾 利行,02.外部設計,,,,,
販売WEB,機能,新規,帳票一覧表,,通常,,福尾 利行,02.外部設計,,,,,
販売WEB,機能,新規,（各帳票設計書）,,通常,,福尾 利行,02.外部設計,,,,,
販売WEB,機能,新規,サーバ移行設計書,,通常,,福尾 利行,02.外部設計,,,,,
販売WEB,機能,新規,データ移行設計書,,通常,,福尾 利行,02.外部設計,,,,,
販売WEB,機能,新規,本番リリース設計書,,通常,,福尾 利行,02.外部設計,,,,,
販売WEB,機能,新規,詳細見積書,,通常,,福尾 利行,02.外部設計,,,,,
販売WEB,機能,新規,ＤＢ物理設計書,,通常,,福尾 利行,03.内部設計,,,,,
販売WEB,機能,新規,（特記プラグラム仕様書）,,通常,,福尾 利行,03.内部設計,,,,,
販売WEB,機能,新規,（特記プラグラム仕様書）,,通常,,福尾 利行,03.内部設計,,,,,
販売WEB,機能,新規,（特記プラグラム仕様書）,,通常,,福尾 利行,03.内部設計,,,,,
販売WEB,機能,新規,メッセージ一覧表,,通常,,福尾 利行,04.ＰＧ設計,,,,,
販売WEB,機能,新規,バッチＰＧ設計書,,通常,,福尾 利行,04.ＰＧ設計,,,,,
販売WEB,機能,新規,画面ＰＧ設計書,,通常,,福尾 利行,04.ＰＧ設計,,,,,
販売WEB,機能,新規,帳票ＰＧ設計書,,通常,,福尾 利行,04.ＰＧ設計,,,,,
